replicate,m0,m1,m2,m3,b0,b1,b2,b3
0,28,33,27,55,49,31,33,19
1,35,35,39,28,36,13,46,45
2,24,37,41,25,43,19,29,32
3,37,29,40,33,30,52,23,34
4,40,30,34,34,27,36,35,44
5,26,29,36,46,46,22,31,33
6,36,31,21,52,37,31,31,39
7,44,27,31,34,29,44,32,34
8,43,21,39,37,15,48,42,38
9,41,35,37,32,56,25,22,42
10,26,40,26,39,28,38,40,29
11,32,47,23,37,44,37,22,41
12,25,33,37,42,28,41,42,31
13,29,39,26,40,35,35,37,30
14,42,34,28,39,38,30,40,37
15,33,28,31,51,19,47,29,48
16,16,44,30,50,31,50,17,36
17,45,36,35,29,36,28,26,50
18,44,44,31,18,42,28,40,30
19,26,44,28,38,39,35,38,28
20,34,39,38,29,42,38,34,24
21,36,36,36,35,37,41,32,31
22,29,26,45,41,44,18,33,46
23,31,34,34,39,34,17,50,32
24,37,45,34,26,27,34,35,43
25,29,33,47,29,41,37,41,25
26,33,37,36,36,36,34,17,53
27,38,40,29,30,41,34,23,45
28,47,38,10,30,36,33,30,47
29,31,19,47,43,37,27,32,43
30,26,18,64,35,41,20,28,53
31,52,17,43,25,26,56,19,41
32,23,46,25,48,31,27,42,42
33,26,54,30,31,35,38,38,34
34,39,54,23,19,43,30,44,24
35,36,23,37,45,47,25,40,33
36,32,56,30,23,31,41,49,12
37,40,28,40,33,26,39,42,36
38,32,33,32,46,30,26,33,40
39,27,25,41,39,44,20,23,41
40,61,22,29,26,20,43,41,34
41,22,35,38,46,38,45,24,34
42,31,31,39,36,33,35,35,34
43,27,34,37,41,34,31,34,38
44,31,38,32,30,34,37,35,32
45,50,41,28,21,25,53,35,32
46,45,33,25,31,48,25,36,28
47,37,27,45,33,33,24,49,33
48,52,33,25,30,52,34,31,27
49,42,27,28,39,33,25,41,40
50,28,35,24,40,45,22,30,37
51,40,30,51,14,39,43,22,38
52,43,46,36,11,22,28,50,42
53,35,39,29,39,44,26,42,28
54,22,45,31,42,31,40,15,52
55,26,16,49,41,29,44,46,11
56,38,31,38,29,36,43,30,33
57,35,34,45,26,39,41,31,26
58,45,33,25,31,34,22,38,47
59,31,53,24,23,46,24,34,35
60,44,28,38,27,41,24,36,31
61,12,32,28,52,27,23,51,40
62,46,41,26,21,29,31,26,46
63,41,34,30,32,43,35,38,26
64,27,12,53,41,46,16,32,42
65,37,26,48,20,42,35,16,34
66,39,33,36,32,42,25,53,20
67,50,42,30,18,32,39,26,35
68,47,15,24,44,26,26,49,38
69,57,30,20,36,30,26,33,39
70,49,25,35,26,31,20,35,52
71,28,30,35,47,30,38,30,31
72,31,38,29,40,28,52,29,34
73,24,35,27,49,30,47,45,18
74,30,25,47,34,36,30,39,33
75,32,49,31,29,19,38,43,38
76,35,44,31,30,30,36,30,44
77,49,24,51,22,20,37,32,40
78,51,32,37,23,20,44,33,47
79,37,22,38,37,38,29,31,42
80,38,40,25,41,30,24,41,47
81,35,18,48,31,24,37,43,40
82,28,34,42,40,47,25,29,36
83,29,37,49,24,39,39,32,31
84,30,24,19,65,25,35,37,21
85,43,28,32,39,30,37,28,40
86,36,46,21,38,28,24,43,45
87,27,40,43,30,17,24,63,29
88,30,38,37,36,37,26,33,48
89,24,41,35,41,36,23,49,29
90,22,43,41,35,25,44,37,35
91,30,32,42,23,35,26,27,48
92,14,43,43,37,24,25,42,36
93,23,40,50,23,34,43,36,29
94,34,33,28,44,48,27,31,33
95,16,52,40,29,40,39,35,30
96,35,26,29,48,32,45,35,31
97,25,43,27,41,42,34,27,41
98,37,46,43,15,36,39,24,45
99,41,22,33,49,35,26,31,45
