replicate,m0,m1,m2,m3,b0,b1,b2,b3,mMinimumScore,bMinimumScore,mMaximumScore,bMaximumScore,mAverageOfScores,bAverageOfScores,mSumOfScores,bSumOfScores
0,30,32,61,25,27,50,33,41,25,27,61,50,37.0,37.75,148,151
1,33,41,48,24,36,35,52,28,24,28,48,52,36.5,37.75,146,151
2,43,33,46,28,45,28,47,31,28,28,46,47,37.5,37.75,150,151
3,32,50,44,24,36,37,38,38,24,36,50,38,37.5,37.25,150,149
4,29,42,42,38,28,39,28,55,29,28,42,55,37.75,37.5,151,150
5,34,39,26,45,39,32,41,38,26,32,45,41,36.0,37.5,144,150
6,42,20,43,45,24,33,35,56,20,24,45,56,37.5,37.0,150,148
7,26,36,37,46,35,43,19,54,26,19,46,54,36.25,37.75,145,151
8,33,32,19,62,40,31,39,40,19,31,62,40,36.5,37.5,146,150
9,35,37,45,31,40,40,34,37,31,34,45,40,37.0,37.75,148,151
10,48,39,37,26,50,44,16,41,26,16,48,50,37.5,37.75,150,151
11,39,41,30,40,42,33,37,39,30,33,41,42,37.5,37.75,150,151
12,24,45,22,59,54,43,17,35,22,17,59,54,37.5,37.25,150,149
13,25,34,43,49,35,57,23,34,25,23,49,57,37.75,37.25,151,149
14,33,46,31,40,42,40,45,23,31,23,46,45,37.5,37.5,150,150
15,43,26,37,44,36,43,24,44,26,24,44,44,37.5,36.75,150,147
16,39,42,42,24,35,43,30,43,24,30,42,43,36.75,37.75,147,151
17,51,43,33,23,26,22,40,62,23,22,51,62,37.5,37.5,150,150
18,30,38,29,50,24,40,50,36,29,24,50,50,36.75,37.5,147,150
19,33,27,49,42,38,39,49,24,27,24,49,49,37.75,37.5,151,150
20,31,42,33,41,50,30,43,27,31,27,42,50,36.75,37.5,147,150
21,34,18,52,43,54,39,32,21,18,21,52,54,36.75,36.5,147,146
22,14,44,36,52,25,39,51,34,14,25,52,51,36.5,37.25,146,149
23,34,41,40,34,44,36,38,29,34,29,41,44,37.25,36.75,149,147
24,31,31,39,50,39,25,52,32,31,25,50,52,37.75,37.0,151,148
25,50,27,35,39,35,25,55,36,27,25,50,55,37.75,37.75,151,151
26,34,33,42,41,31,25,47,47,33,25,42,47,37.5,37.5,150,150
27,28,50,32,36,55,13,44,35,28,13,50,55,36.5,36.75,146,147
28,29,50,31,40,37,39,30,36,29,30,50,39,37.5,35.5,150,142
29,30,35,43,43,29,48,38,36,30,29,43,48,37.75,37.75,151,151
30,42,28,37,42,25,32,55,37,28,25,42,55,37.25,37.25,149,149
31,40,38,34,35,35,47,35,31,34,31,40,47,36.75,37.0,147,148
32,32,24,37,55,29,50,43,29,24,29,55,50,37.0,37.75,148,151
33,28,32,47,44,41,49,45,15,28,15,47,49,37.75,37.5,151,150
34,32,33,37,45,36,41,42,31,32,31,45,42,36.75,37.5,147,150
35,29,40,47,29,50,43,26,32,29,26,47,50,36.25,37.75,145,151
36,30,35,30,52,47,32,42,30,30,30,52,47,36.75,37.75,147,151
37,36,43,40,29,51,35,26,38,29,26,43,51,37.0,37.5,148,150
38,41,36,32,39,51,40,38,20,32,20,41,51,37.0,37.25,148,149
39,37,33,39,42,40,44,39,27,33,27,42,44,37.75,37.5,151,150
40,36,28,49,37,38,36,40,25,28,25,49,40,37.5,34.75,150,139
41,37,44,29,36,46,43,34,24,29,24,44,46,36.5,36.75,146,147
42,58,37,35,20,45,19,38,46,20,19,58,46,37.5,37.0,150,148
43,49,28,43,29,47,46,27,29,28,27,49,47,37.25,37.25,149,149
44,31,46,46,28,41,30,22,52,28,22,46,52,37.75,36.25,151,145
45,31,27,27,66,34,32,52,33,27,32,66,52,37.75,37.75,151,151
46,41,40,24,42,26,39,28,43,24,26,42,43,36.75,34.0,147,136
47,49,30,41,31,47,30,21,48,30,21,49,48,37.75,36.5,151,146
48,19,46,40,45,38,47,29,32,19,29,46,47,37.5,36.5,150,146
49,45,42,26,31,45,40,30,33,26,30,45,45,36.0,37.0,144,148
50,48,34,34,34,42,46,35,23,34,23,48,46,37.5,36.5,150,146
51,42,31,37,41,30,29,40,51,31,29,42,51,37.75,37.5,151,150
52,34,38,30,48,32,37,29,51,30,29,48,51,37.5,37.25,150,149
53,32,47,44,25,41,49,35,24,25,24,47,49,37.0,37.25,148,149
54,29,48,39,32,22,36,50,42,29,22,48,50,37.0,37.5,148,150
55,42,31,36,39,18,39,50,42,31,18,42,50,37.0,37.25,148,149
56,30,32,44,41,32,29,52,37,30,29,44,52,36.75,37.5,147,150
57,38,41,38,33,37,25,33,55,33,25,41,55,37.5,37.5,150,150
58,37,27,47,36,18,41,56,36,27,18,47,56,36.75,37.75,147,151
59,25,53,39,31,25,27,38,55,25,25,53,55,37.0,36.25,148,145
60,24,38,33,46,40,29,45,36,24,29,46,45,35.25,37.5,141,150
61,31,49,35,34,40,41,34,32,31,32,49,41,37.25,36.75,149,147
62,48,57,26,18,31,37,44,38,18,31,57,44,37.25,37.5,149,150
63,45,33,43,30,60,21,45,20,30,20,45,60,37.75,36.5,151,146
64,33,48,44,19,22,55,34,36,19,22,48,55,36.0,36.75,144,147
65,40,32,33,44,43,55,23,28,32,23,44,55,37.25,37.25,149,149
66,36,54,36,25,44,47,31,29,25,29,54,47,37.75,37.75,151,151
67,35,36,24,42,46,41,45,17,24,17,42,46,34.25,37.25,137,149
68,26,38,31,55,33,52,40,25,26,25,55,52,37.5,37.5,150,150
69,28,30,51,42,41,29,36,41,28,29,51,41,37.75,36.75,151,147
70,31,46,27,47,42,33,22,52,27,22,47,52,37.75,37.25,151,149
71,30,51,44,24,32,41,36,41,24,32,51,41,37.25,37.5,149,150
72,31,17,33,63,38,41,45,20,17,20,63,45,36.0,36.0,144,144
73,36,57,20,34,47,23,47,33,20,23,57,47,36.75,37.5,147,150
74,38,21,52,39,44,28,37,42,21,28,52,44,37.5,37.75,150,151
75,28,42,44,28,42,24,33,49,28,24,44,49,35.5,37.0,142,148
76,35,50,42,24,37,25,41,47,24,25,50,47,37.75,37.5,151,150
77,40,42,45,23,26,38,46,40,23,26,45,46,37.5,37.5,150,150
78,32,37,49,33,33,43,33,42,32,33,49,43,37.75,37.75,151,151
79,40,33,43,34,49,23,41,38,33,23,43,49,37.5,37.75,150,151
80,36,33,51,30,38,32,44,29,30,29,51,44,37.5,35.75,150,143
81,48,30,44,29,46,42,26,35,29,26,48,46,37.75,37.25,151,149
82,27,30,62,23,15,58,53,25,23,15,62,58,35.5,37.75,142,151
83,48,41,34,27,45,40,26,39,27,26,48,45,37.5,37.5,150,150
84,26,44,50,30,51,39,28,32,26,28,50,51,37.5,37.5,150,150
85,28,51,33,38,40,24,55,32,28,24,51,55,37.5,37.75,150,151
86,32,41,39,37,24,37,50,36,32,24,41,50,37.25,36.75,149,147
87,45,26,40,39,58,39,26,25,26,25,45,58,37.5,37.0,150,148
88,51,26,46,22,46,33,39,31,22,31,51,46,36.25,37.25,145,149
89,51,24,18,56,31,40,35,44,18,31,56,44,37.25,37.5,149,150
90,34,40,40,35,54,24,45,25,34,24,40,54,37.25,37.0,149,148
91,47,17,49,38,33,43,40,29,17,29,49,43,37.75,36.25,151,145
92,44,43,31,33,47,45,13,46,31,13,44,47,37.75,37.75,151,151
93,37,22,47,41,47,34,32,38,22,32,47,47,36.75,37.75,147,151
94,41,22,37,51,29,40,45,34,22,29,51,45,37.75,37.0,151,148
95,33,31,39,48,37,23,57,34,31,23,48,57,37.75,37.75,151,151
96,41,32,46,31,40,47,21,43,31,21,46,47,37.5,37.75,150,151
97,31,36,47,36,43,46,33,28,31,28,47,46,37.5,37.5,150,150
98,34,34,45,36,49,20,41,40,34,20,45,49,37.25,37.5,149,150
99,33,35,45,34,39,43,45,24,33,24,45,45,36.75,37.75,147,151
