generation,ID,score,rawScores,ownScore,minimumScore,maximumScore,averageOfScores,sumOfScores
0,165,46.0,"24.000000,39.000000,46.000000,37.000000",46.0,24.0,46.0,36.5,146.0
100,10176,56.0,"28.000000,29.000000,32.000000,56.000000",56.0,28.0,56.0,36.25,145.0
200,20173,31.0,"25.000000,50.000000,31.000000,39.000000",31.0,25.0,50.0,36.25,145.0
300,30130,42.0,"29.000000,42.000000,45.000000,39.000000",42.0,29.0,45.0,38.75,155.0
400,40173,52.0,"16.000000,44.000000,52.000000,39.000000",52.0,16.0,52.0,37.75,151.0
500,50122,27.0,"27.000000,27.000000,58.000000,35.000000",27.0,27.0,58.0,36.75,147.0
600,60108,38.0,"30.000000,50.000000,29.000000,38.000000",38.0,29.0,50.0,36.75,147.0
700,70171,34.0,"34.000000,33.000000,51.000000,31.000000",34.0,31.0,51.0,37.25,149.0
800,80183,36.0,"36.000000,52.000000,13.000000,48.000000",36.0,13.0,52.0,37.25,149.0
900,90136,32.0,"51.000000,32.000000,33.000000,32.000000",32.0,32.0,51.0,37.0,148.0
1000,100106,38.0,"35.000000,38.000000,43.000000,34.000000",38.0,34.0,43.0,37.5,150.0
1100,110161,45.0,"60.000000,34.000000,45.000000,9.000000",45.0,9.0,60.0,37.0,148.0
1200,120169,82.0,"0.000000,67.000000,82.000000,0.000000",82.0,0.0,82.0,37.25,149.0
1300,130107,25.0,"25.000000,32.000000,57.000000,32.000000",25.0,25.0,57.0,36.5,146.0
1400,140123,35.0,"35.000000,76.000000,12.000000,25.000000",35.0,12.0,76.0,37.0,148.0
1500,150195,42.0,"42.000000,37.000000,31.000000,43.000000",42.0,31.0,43.0,38.25,153.0
1600,160113,40.0,"23.000000,38.000000,40.000000,46.000000",40.0,23.0,46.0,36.75,147.0
1700,170182,95.0,"48.000000,95.000000,0.000000,0.000000",95.0,0.0,95.0,35.75,143.0
1800,180153,42.0,"51.000000,25.000000,42.000000,32.000000",42.0,25.0,51.0,37.5,150.0
1900,190177,84.0,"46.000000,16.000000,84.000000,0.000000",84.0,0.0,84.0,36.5,146.0
2000,200185,36.0,"38.000000,37.000000,36.000000,35.000000",36.0,35.0,38.0,36.5,146.0
2100,210100,45.0,"46.000000,26.000000,28.000000,45.000000",45.0,26.0,46.0,36.25,145.0
2200,220192,62.0,"35.000000,14.000000,33.000000,62.000000",62.0,14.0,62.0,36.0,144.0
2300,230145,93.0,"0.000000,4.000000,93.000000,43.000000",93.0,0.0,93.0,35.0,140.0
2400,240146,54.0,"39.000000,54.000000,17.000000,36.000000",54.0,17.0,54.0,36.5,146.0
2500,250150,38.0,"33.000000,38.000000,38.000000,39.000000",38.0,33.0,39.0,37.0,148.0
2600,260118,39.0,"14.000000,39.000000,53.000000,39.000000",39.0,14.0,53.0,36.25,145.0
2700,270188,47.0,"16.000000,45.000000,39.000000,47.000000",47.0,16.0,47.0,36.75,147.0
2800,280196,58.0,"51.000000,36.000000,7.000000,58.000000",58.0,7.0,58.0,38.0,152.0
2900,290169,49.0,"21.000000,45.000000,49.000000,32.000000",49.0,21.0,49.0,36.75,147.0
3000,300169,40.0,"42.000000,39.000000,40.000000,26.000000",40.0,26.0,42.0,36.75,147.0
3100,310131,37.0,"37.000000,45.000000,33.000000,31.000000",37.0,31.0,45.0,36.5,146.0
3200,320111,52.0,"52.000000,27.000000,30.000000,41.000000",52.0,27.0,52.0,37.5,150.0
3300,330113,42.0,"42.000000,30.000000,42.000000,37.000000",42.0,30.0,42.0,37.75,151.0
3400,340151,59.0,"59.000000,45.000000,11.000000,33.000000",59.0,11.0,59.0,37.0,148.0
3500,350124,76.0,"0.000000,42.000000,23.000000,76.000000",76.0,0.0,76.0,35.25,141.0
3600,360198,39.0,"32.000000,39.000000,11.000000,64.000000",39.0,11.0,64.0,36.5,146.0
3700,370178,47.0,"41.000000,47.000000,31.000000,31.000000",47.0,31.0,47.0,37.5,150.0
3800,380163,50.0,"50.000000,40.000000,31.000000,30.000000",50.0,30.0,50.0,37.75,151.0
3900,390181,46.0,"28.000000,34.000000,46.000000,42.000000",46.0,28.0,46.0,37.5,150.0
4000,400116,25.0,"45.000000,39.000000,42.000000,25.000000",25.0,25.0,45.0,37.75,151.0
4100,410156,66.0,"47.000000,0.000000,33.000000,66.000000",66.0,0.0,66.0,36.5,146.0
4200,420156,37.0,"53.000000,27.000000,35.000000,37.000000",37.0,27.0,53.0,38.0,152.0
4300,430156,44.0,"43.000000,37.000000,25.000000,44.000000",44.0,25.0,44.0,37.25,149.0
4400,440120,31.0,"33.000000,50.000000,31.000000,31.000000",31.0,31.0,50.0,36.25,145.0
4500,450130,45.0,"24.000000,45.000000,54.000000,25.000000",45.0,24.0,54.0,37.0,148.0
4600,460179,40.0,"40.000000,36.000000,37.000000,35.000000",40.0,35.0,40.0,37.0,148.0
4700,470192,39.0,"52.000000,17.000000,43.000000,39.000000",39.0,17.0,52.0,37.75,151.0
4800,480170,36.0,"47.000000,36.000000,27.000000,38.000000",36.0,27.0,47.0,37.0,148.0
