generation,ID,score,rawScores,ownScore,minimumScore,maximumScore,averageOfScores,sumOfScores
0,123,63.0,"63.000000,26.000000,36.000000,12.000000",63.0,12.0,63.0,34.25,137.0
100,10133,36.0,"38.000000,35.000000,36.000000,39.000000",36.0,35.0,39.0,37.0,148.0
200,20145,45.0,"21.000000,29.000000,45.000000,49.000000",45.0,21.0,49.0,36.0,144.0
300,30117,40.0,"44.000000,33.000000,40.000000,33.000000",40.0,33.0,44.0,37.5,150.0
400,40133,51.0,"41.000000,1.000000,51.000000,50.000000",51.0,1.0,51.0,35.75,143.0
500,50116,28.0,"45.000000,42.000000,29.000000,28.000000",28.0,28.0,45.0,36.0,144.0
600,60103,52.0,"52.000000,14.000000,55.000000,27.000000",52.0,14.0,55.0,37.0,148.0
700,70123,45.0,"45.000000,25.000000,48.000000,28.000000",45.0,25.0,48.0,36.5,146.0
800,80107,65.0,"65.000000,60.000000,15.000000,9.000000",65.0,9.0,65.0,37.25,149.0
900,90113,96.0,"32.000000,1.000000,96.000000,0.000000",96.0,0.0,96.0,32.25,129.0
1000,100189,36.0,"23.000000,0.000000,36.000000,6.000000",36.0,0.0,36.0,16.25,65.0
1100,110194,52.0,"18.000000,52.000000,6.000000,50.000000",52.0,6.0,52.0,31.5,126.0
1200,120158,18.0,"26.000000,18.000000,41.000000,23.000000",18.0,18.0,41.0,27.0,108.0
1300,130183,18.0,"18.000000,54.000000,30.000000,31.000000",18.0,18.0,54.0,33.25,133.0
1400,140149,100.0,"5.000000,0.000000,100.000000,35.000000",100.0,0.0,100.0,35.0,140.0
1500,150179,39.0,"39.000000,27.000000,52.000000,34.000000",39.0,27.0,52.0,38.0,152.0
1600,160176,54.0,"19.000000,44.000000,30.000000,54.000000",54.0,19.0,54.0,36.75,147.0
1700,170199,73.0,"73.000000,10.000000,18.000000,39.000000",73.0,10.0,73.0,35.0,140.0
1800,180154,32.0,"29.000000,32.000000,36.000000,47.000000",32.0,29.0,47.0,36.0,144.0
1900,190177,29.0,"5.000000,29.000000,29.000000,46.000000",29.0,5.0,46.0,27.25,109.0
2000,200145,98.0,"5.000000,22.000000,98.000000,6.000000",98.0,5.0,98.0,32.75,131.0
2100,210188,59.0,"16.000000,22.000000,50.000000,59.000000",59.0,16.0,59.0,36.75,147.0
2200,220111,38.0,"38.000000,48.000000,29.000000,22.000000",38.0,22.0,48.0,34.25,137.0
2300,230113,63.0,"0.000000,0.000000,63.000000,58.000000",63.0,0.0,63.0,30.25,121.0
2400,240178,38.0,"38.000000,38.000000,37.000000,33.000000",38.0,33.0,38.0,36.5,146.0
2500,250111,37.0,"37.000000,5.000000,65.000000,45.000000",37.0,5.0,65.0,38.0,152.0
2600,260130,41.0,"29.000000,41.000000,48.000000,36.000000",41.0,29.0,48.0,38.5,154.0
2700,270178,42.0,"35.000000,42.000000,37.000000,38.000000",42.0,35.0,42.0,38.0,152.0
2800,280109,42.0,"37.000000,34.000000,42.000000,33.000000",42.0,33.0,42.0,36.5,146.0
2900,290159,34.0,"34.000000,33.000000,26.000000,56.000000",34.0,26.0,56.0,37.25,149.0
3000,300155,34.0,"34.000000,7.000000,49.000000,60.000000",34.0,7.0,60.0,37.5,150.0
3100,310189,41.0,"56.000000,18.000000,41.000000,18.000000",41.0,18.0,56.0,33.25,133.0
3200,320144,39.0,"46.000000,37.000000,27.000000,39.000000",39.0,27.0,46.0,37.25,149.0
3300,330106,34.0,"40.000000,34.000000,25.000000,46.000000",34.0,25.0,46.0,36.25,145.0
3400,340137,57.0,"9.000000,34.000000,57.000000,44.000000",57.0,9.0,57.0,36.0,144.0
3500,350176,37.0,"37.000000,38.000000,17.000000,37.000000",37.0,17.0,38.0,32.25,129.0
3600,360195,49.0,"49.000000,5.000000,46.000000,43.000000",49.0,5.0,49.0,35.75,143.0
3700,370119,45.0,"45.000000,36.000000,31.000000,35.000000",45.0,31.0,45.0,36.75,147.0
3800,380136,44.0,"11.000000,52.000000,44.000000,44.000000",44.0,11.0,52.0,37.75,151.0
3900,390140,39.0,"44.000000,7.000000,50.000000,39.000000",39.0,7.0,50.0,35.0,140.0
4000,400156,44.0,"45.000000,40.000000,19.000000,44.000000",44.0,19.0,45.0,37.0,148.0
4100,410128,86.0,"0.000000,49.000000,11.000000,86.000000",86.0,0.0,86.0,36.5,146.0
4200,420118,68.0,"41.000000,68.000000,17.000000,26.000000",68.0,17.0,68.0,38.0,152.0
4300,430158,35.0,"30.000000,35.000000,28.000000,41.000000",35.0,28.0,41.0,33.5,134.0
4400,440128,61.0,"56.000000,24.000000,6.000000,61.000000",61.0,6.0,61.0,36.75,147.0
4500,450156,79.0,"45.000000,7.000000,17.000000,79.000000",79.0,7.0,79.0,37.0,148.0
4600,460131,46.0,"46.000000,34.000000,31.000000,35.000000",46.0,31.0,46.0,36.5,146.0
4700,470128,31.0,"19.000000,54.000000,34.000000,31.000000",31.0,19.0,54.0,34.5,138.0
4800,480108,77.0,"11.000000,12.000000,47.000000,77.000000",77.0,11.0,77.0,36.75,147.0
