t,x0,y0,d0,e0,a0,b0,x1,y1,d1,e1,a1,b1,x2,y2,d2,e2,a2,b2,x3,y3,d3,e3,a3,b3
0,1,2,2,1,3,1,13,1,3,1,3,1,14,13,0,1,3,1,2,14,1,1,3,1
1,1,3,2,2,3,1,13,1,2,1,1,1,14,13,3,1,1,1,3,14,1,2,3,1
2,1,4,2,3,3,1,13,2,2,2,3,1,13,13,3,2,3,1,4,14,1,3,3,1
3,1,5,2,4,3,1,13,2,1,2,1,1,12,13,3,3,3,1,4,14,0,3,1,1
4,1,6,2,4,3,1,14,2,1,2,3,1,11,13,3,3,3,1,4,13,0,4,3,1
5,1,7,2,5,3,1,14,2,0,2,1,1,11,13,2,3,1,1,4,12,0,5,3,1
6,1,8,2,5,3,1,14,1,0,2,3,1,11,14,2,3,3,1,4,11,0,6,3,1
7,1,9,2,6,3,1,14,1,0,2,3,1,11,14,2,3,3,1,4,11,3,6,1,1
8,1,10,2,6,3,1,14,1,3,2,1,1,11,14,2,3,3,1,3,11,3,6,3,1
9,1,11,2,6,3,1,13,1,3,2,3,1,11,14,2,3,3,1,2,11,3,7,3,1
10,1,11,1,6,1,1,12,1,3,3,3,1,11,14,2,3,3,1,2,11,2,7,1,1
11,1,11,1,6,3,1,11,1,3,4,3,1,11,14,1,3,1,1,2,12,2,8,3,1
12,2,11,1,6,3,1,10,1,3,4,3,1,12,14,1,3,3,1,2,13,2,9,3,1
13,3,11,1,6,3,1,9,1,3,5,3,1,13,14,1,4,3,1,2,14,2,9,3,1
14,4,11,1,6,3,1,8,1,3,5,3,1,14,14,1,4,3,1,2,14,2,9,3,1
15,5,11,1,7,3,1,7,1,3,6,3,1,14,14,1,4,3,1,2,14,2,9,3,1
16,5,11,0,7,1,1,7,1,2,6,1,1,14,14,1,4,3,1,2,14,2,9,3,1
17,5,10,0,7,3,1,7,2,2,6,3,1,14,14,1,4,3,1,2,14,2,9,3,1
18,5,9,0,8,3,1,7,2,1,6,1,1,14,14,1,4,3,1,2,14,2,9,3,1
19,5,8,0,9,3,1,8,2,1,6,3,1,14,14,1,4,3,1,2,14,2,9,3,1
20,5,7,0,10,3,1,8,2,0,6,1,1,14,14,1,4,3,1,2,14,2,9,3,1
21,5,6,0,10,3,1,8,1,0,6,3,1,14,14,0,4,1,1,2,14,2,9,3,1
22,5,5,0,11,3,1,8,1,0,6,3,1,14,13,0,4,3,1,2,14,2,9,3,1
23,5,5,3,11,1,1,8,1,0,6,3,1,14,13,3,4,1,1,2,14,2,9,3,1
24,4,5,3,12,3,1,8,1,0,6,3,1,13,13,3,4,3,1,2,14,2,9,3,1
25,3,5,3,12,3,1,8,1,0,6,3,1,12,13,3,4,3,1,2,14,2,9,3,1
26,3,5,2,12,1,1,8,1,0,6,3,1,11,13,3,4,3,1,2,14,2,9,3,1
27,3,6,2,13,3,1,8,1,0,6,3,1,11,13,2,4,1,1,2,14,2,9,3,1
28,3,7,2,14,3,1,8,1,0,6,3,1,11,14,2,4,3,1,2,14,2,9,3,1
29,3,8,2,14,3,1,8,1,0,6,3,1,11,14,2,4,3,1,2,14,1,9,1,1
30,3,8,1,14,1,1,8,1,3,6,1,1,11,14,2,4,3,1,3,14,1,9,3,1
31,4,8,1,15,3,1,7,1,3,6,3,1,11,14,2,4,3,1,4,14,1,9,3,1
32,5,8,1,15,3,1,6,1,3,7,3,1,11,14,2,4,3,1,5,14,1,10,3,1
33,6,8,1,15,3,1,6,1,2,7,1,1,11,14,2,4,3,1,6,14,1,11,3,1
34,7,8,1,16,3,1,6,2,2,8,3,1,11,14,2,4,3,1,7,14,1,12,3,1
35,7,8,0,16,1,1,6,2,1,8,1,1,11,14,2,4,3,1,8,14,1,13,3,1
36,7,7,0,17,3,1,7,2,1,8,3,1,11,14,2,4,3,1,9,14,1,14,3,1
37,7,6,0,17,3,1,8,2,1,8,3,1,11,14,2,4,3,1,9,14,0,14,1,1
38,7,5,0,18,3,1,8,2,0,8,1,1,11,14,2,4,3,1,9,13,0,15,3,1
39,7,4,0,18,3,1,8,1,0,8,3,1,11,14,2,4,3,1,9,12,0,16,3,1
40,7,3,0,19,3,1,8,1,3,8,1,1,11,14,2,4,3,1,9,12,3,16,1,1
41,7,2,0,19,3,1,7,1,3,8,3,1,11,14,2,4,3,1,8,12,3,17,3,1
