generation,ID,score,rawScores,ownScore
0,125,66.000000,"[0.000000,53.000000,66.000000,3.000000]",66.000000
100,10161,19.000000,"[47.000000,40.000000,19.000000,39.000000]",19.000000
200,20163,57.000000,"[57.000000,41.000000,44.000000,0.000000]",57.000000
300,30193,51.000000,"[30.000000,37.000000,51.000000,28.000000]",51.000000
400,40146,45.000000,"[39.000000,45.000000,0.000000,64.000000]",45.000000
500,50160,41.000000,"[40.000000,29.000000,40.000000,41.000000]",41.000000
600,60169,29.000000,"[38.000000,45.000000,29.000000,39.000000]",29.000000
700,70157,39.000000,"[45.000000,28.000000,39.000000,34.000000]",39.000000
800,80154,33.000000,"[40.000000,33.000000,42.000000,31.000000]",33.000000
900,90134,40.000000,"[30.000000,40.000000,43.000000,36.000000]",40.000000
1000,100141,50.000000,"[35.000000,37.000000,50.000000,27.000000]",50.000000
1100,110151,27.000000,"[27.000000,31.000000,48.000000,40.000000]",27.000000
1200,120151,36.000000,"[36.000000,29.000000,45.000000,36.000000]",36.000000
1300,130174,44.000000,"[51.000000,44.000000,6.000000,44.000000]",44.000000
1400,140168,42.000000,"[49.000000,25.000000,32.000000,42.000000]",42.000000
1500,150162,55.000000,"[3.000000,55.000000,45.000000,42.000000]",55.000000
1600,160166,47.000000,"[46.000000,47.000000,52.000000,0.000000]",47.000000
1700,170108,49.000000,"[36.000000,20.000000,44.000000,49.000000]",49.000000
1800,180171,62.000000,"[62.000000,0.000000,45.000000,39.000000]",62.000000
1900,190117,54.000000,"[53.000000,41.000000,54.000000,0.000000]",54.000000
2000,200153,42.000000,"[46.000000,29.000000,42.000000,35.000000]",42.000000
2100,210193,53.000000,"[37.000000,42.000000,53.000000,13.000000]",53.000000
2200,220104,42.000000,"[42.000000,61.000000,0.000000,42.000000]",42.000000
2300,230100,37.000000,"[45.000000,23.000000,41.000000,37.000000]",37.000000
2400,240133,50.000000,"[47.000000,44.000000,50.000000,6.000000]",50.000000
2500,250161,27.000000,"[45.000000,32.000000,27.000000,46.000000]",27.000000
2600,260141,47.000000,"[44.000000,29.000000,47.000000,29.000000]",47.000000
2700,270131,46.000000,"[46.000000,31.000000,43.000000,30.000000]",46.000000
2800,280199,51.000000,"[51.000000,14.000000,58.000000,26.000000]",51.000000
2900,290120,43.000000,"[50.000000,31.000000,27.000000,43.000000]",43.000000
3000,300117,60.000000,"[8.000000,43.000000,60.000000,37.000000]",60.000000
3100,310166,49.000000,"[28.000000,49.000000,43.000000,25.000000]",49.000000
3200,320182,31.000000,"[60.000000,31.000000,38.000000,25.000000]",31.000000
3300,330146,33.000000,"[41.000000,33.000000,34.000000,42.000000]",33.000000
3400,340140,44.000000,"[37.000000,33.000000,35.000000,44.000000]",44.000000
3500,350165,63.000000,"[32.000000,45.000000,63.000000,6.000000]",63.000000
3600,360187,32.000000,"[32.000000,39.000000,52.000000,26.000000]",32.000000
3700,370104,44.000000,"[27.000000,62.000000,15.000000,44.000000]",44.000000
3800,380102,44.000000,"[26.000000,44.000000,36.000000,43.000000]",44.000000
3900,390115,52.000000,"[52.000000,32.000000,47.000000,19.000000]",52.000000
4000,400105,47.000000,"[40.000000,7.000000,47.000000,56.000000]",47.000000
4100,410104,36.000000,"[36.000000,39.000000,36.000000,36.000000]",36.000000
4200,420100,74.000000,"[0.000000,15.000000,58.000000,74.000000]",74.000000
4300,430159,41.000000,"[41.000000,42.000000,17.000000,49.000000]",41.000000
4400,440146,33.000000,"[34.000000,33.000000,40.000000,40.000000]",33.000000
4500,450179,32.000000,"[32.000000,35.000000,44.000000,36.000000]",32.000000
4600,460152,35.000000,"[41.000000,35.000000,39.000000,35.000000]",35.000000
4700,470137,38.000000,"[41.000000,31.000000,38.000000,40.000000]",38.000000
4800,480197,39.000000,"[50.000000,19.000000,39.000000,37.000000]",39.000000
