generation,ID,score,rawScores,ownScore,minimumScore,maximumScore,averageOfScores,sumOfScores
0,153,35.5,"22.000000,52.000000,38.000000,30.000000",35.5,22.0,52.0,35.5,142.0
100,10100,37.75,"35.000000,38.000000,48.000000,30.000000",37.75,30.0,48.0,37.75,151.0
200,20155,37.5,"48.000000,36.000000,29.000000,37.000000",37.5,29.0,48.0,37.5,150.0
300,30196,36.75,"23.000000,43.000000,40.000000,41.000000",36.75,23.0,43.0,36.75,147.0
400,40100,36.5,"45.000000,41.000000,30.000000,30.000000",36.5,30.0,45.0,36.5,146.0
500,50125,37.25,"34.000000,43.000000,25.000000,47.000000",37.25,25.0,47.0,37.25,149.0
600,60111,35.75,"39.000000,40.000000,35.000000,29.000000",35.75,29.0,40.0,35.75,143.0
700,70121,37.25,"46.000000,50.000000,23.000000,30.000000",37.25,23.0,50.0,37.25,149.0
800,80162,38.25,"38.000000,34.000000,44.000000,37.000000",38.25,34.0,44.0,38.25,153.0
900,90195,37.5,"26.000000,43.000000,47.000000,34.000000",37.5,26.0,47.0,37.5,150.0
1000,100156,37.0,"50.000000,32.000000,33.000000,33.000000",37.0,32.0,50.0,37.0,148.0
1100,110196,35.5,"28.000000,38.000000,29.000000,47.000000",35.5,28.0,47.0,35.5,142.0
1200,120141,37.5,"39.000000,36.000000,46.000000,29.000000",37.5,29.0,46.0,37.5,150.0
1300,130105,36.75,"34.000000,46.000000,31.000000,36.000000",36.75,31.0,46.0,36.75,147.0
1400,140142,37.25,"36.000000,61.000000,17.000000,35.000000",37.25,17.0,61.0,37.25,149.0
1500,150158,36.5,"42.000000,23.000000,53.000000,28.000000",36.5,23.0,53.0,36.5,146.0
1600,160104,37.25,"37.000000,35.000000,49.000000,28.000000",37.25,28.0,49.0,37.25,149.0
1700,170101,37.5,"50.000000,27.000000,50.000000,23.000000",37.5,23.0,50.0,37.5,150.0
1800,180165,37.0,"41.000000,29.000000,52.000000,26.000000",37.0,26.0,52.0,37.0,148.0
1900,190138,37.5,"35.000000,27.000000,46.000000,42.000000",37.5,27.0,46.0,37.5,150.0
2000,200127,37.0,"40.000000,31.000000,43.000000,34.000000",37.0,31.0,43.0,37.0,148.0
2100,210105,36.75,"67.000000,24.000000,32.000000,24.000000",36.75,24.0,67.0,36.75,147.0
2200,220127,36.5,"37.000000,38.000000,34.000000,37.000000",36.5,34.0,38.0,36.5,146.0
2300,230127,36.75,"37.000000,39.000000,28.000000,43.000000",36.75,28.0,43.0,36.75,147.0
2400,240188,35.75,"25.000000,36.000000,41.000000,41.000000",35.75,25.0,41.0,35.75,143.0
2500,250192,36.75,"52.000000,38.000000,30.000000,27.000000",36.75,27.0,52.0,36.75,147.0
2600,260139,34.0,"33.000000,42.000000,39.000000,22.000000",34.0,22.0,42.0,34.0,136.0
2700,270106,37.0,"49.000000,30.000000,41.000000,28.000000",37.0,28.0,49.0,37.0,148.0
2800,280129,36.25,"51.000000,42.000000,14.000000,38.000000",36.25,14.0,51.0,36.25,145.0
2900,290137,36.75,"29.000000,42.000000,45.000000,31.000000",36.75,29.0,45.0,36.75,147.0
3000,300119,37.5,"45.000000,36.000000,26.000000,43.000000",37.5,26.0,45.0,37.5,150.0
3100,310165,37.0,"42.000000,39.000000,28.000000,39.000000",37.0,28.0,42.0,37.0,148.0
3200,320102,36.75,"55.000000,31.000000,30.000000,31.000000",36.75,30.0,55.0,36.75,147.0
3300,330124,36.0,"32.000000,43.000000,33.000000,36.000000",36.0,32.0,43.0,36.0,144.0
3400,340172,35.75,"16.000000,42.000000,47.000000,38.000000",35.75,16.0,47.0,35.75,143.0
3500,350170,36.75,"50.000000,36.000000,30.000000,31.000000",36.75,30.0,50.0,36.75,147.0
3600,360131,35.0,"32.000000,20.000000,42.000000,46.000000",35.0,20.0,46.0,35.0,140.0
3700,370189,37.5,"50.000000,31.000000,24.000000,45.000000",37.5,24.0,50.0,37.5,150.0
3800,380120,37.25,"30.000000,20.000000,42.000000,57.000000",37.25,20.0,57.0,37.25,149.0
3900,390118,37.0,"56.000000,50.000000,20.000000,22.000000",37.0,20.0,56.0,37.0,148.0
4000,400106,37.5,"22.000000,54.000000,39.000000,35.000000",37.5,22.0,54.0,37.5,150.0
4100,410197,36.25,"36.000000,26.000000,29.000000,54.000000",36.25,26.0,54.0,36.25,145.0
4200,420186,36.25,"43.000000,43.000000,31.000000,28.000000",36.25,28.0,43.0,36.25,145.0
4300,430126,37.5,"41.000000,40.000000,32.000000,37.000000",37.5,32.0,41.0,37.5,150.0
4400,440181,36.75,"34.000000,25.000000,47.000000,41.000000",36.75,25.0,47.0,36.75,147.0
4500,450111,37.25,"46.000000,34.000000,45.000000,24.000000",37.25,24.0,46.0,37.25,149.0
4600,460160,35.75,"37.000000,47.000000,31.000000,28.000000",35.75,28.0,47.0,35.75,143.0
4700,470142,37.25,"50.000000,37.000000,42.000000,20.000000",37.25,20.0,50.0,37.25,149.0
4800,480150,36.25,"46.000000,25.000000,40.000000,34.000000",36.25,25.0,46.0,36.25,145.0
