generation,ID,score,rawScores,ownScore,minimumScore,maximumScore,averageOfScores,sumOfScores
0,191,35.75,"42.000000,35.000000,30.000000,36.000000",35.75,30.0,42.0,35.75,143.0
100,10129,36.25,"36.000000,31.000000,40.000000,38.000000",36.25,31.0,40.0,36.25,145.0
200,20112,37.0,"33.000000,25.000000,50.000000,40.000000",37.0,25.0,50.0,37.0,148.0
300,30157,36.75,"28.000000,62.000000,19.000000,38.000000",36.75,19.0,62.0,36.75,147.0
400,40109,36.25,"40.000000,50.000000,26.000000,29.000000",36.25,26.0,50.0,36.25,145.0
500,50178,36.0,"55.000000,47.000000,15.000000,27.000000",36.0,15.0,55.0,36.0,144.0
600,60184,36.0,"31.000000,20.000000,44.000000,49.000000",36.0,20.0,49.0,36.0,144.0
700,70176,36.25,"18.000000,35.000000,41.000000,51.000000",36.25,18.0,51.0,36.25,145.0
800,80122,38.25,"28.000000,36.000000,49.000000,40.000000",38.25,28.0,49.0,38.25,153.0
900,90160,33.25,"28.000000,37.000000,44.000000,24.000000",33.25,24.0,44.0,33.25,133.0
1000,100156,36.5,"34.000000,38.000000,52.000000,22.000000",36.5,22.0,52.0,36.5,146.0
1100,110137,36.0,"33.000000,38.000000,47.000000,26.000000",36.0,26.0,47.0,36.0,144.0
1200,120192,35.5,"31.000000,35.000000,41.000000,35.000000",35.5,31.0,41.0,35.5,142.0
1300,130169,36.0,"27.000000,32.000000,47.000000,38.000000",36.0,27.0,47.0,36.0,144.0
1400,140132,35.75,"30.000000,38.000000,49.000000,26.000000",35.75,26.0,49.0,35.75,143.0
1500,150105,33.25,"39.000000,48.000000,33.000000,13.000000",33.25,13.0,48.0,33.25,133.0
1600,160157,37.75,"35.000000,43.000000,26.000000,47.000000",37.75,26.0,47.0,37.75,151.0
1700,170135,36.75,"43.000000,38.000000,39.000000,27.000000",36.75,27.0,43.0,36.75,147.0
1800,180183,36.5,"7.000000,64.000000,30.000000,45.000000",36.5,7.0,64.0,36.5,146.0
1900,190185,37.5,"42.000000,35.000000,35.000000,38.000000",37.5,35.0,42.0,37.5,150.0
2000,200182,36.75,"22.000000,37.000000,39.000000,49.000000",36.75,22.0,49.0,36.75,147.0
2100,210120,36.5,"20.000000,37.000000,50.000000,39.000000",36.5,20.0,50.0,36.5,146.0
2200,220140,34.5,"22.000000,51.000000,32.000000,33.000000",34.5,22.0,51.0,34.5,138.0
2300,230153,37.25,"33.000000,38.000000,23.000000,55.000000",37.25,23.0,55.0,37.25,149.0
2400,240136,37.75,"37.000000,25.000000,37.000000,52.000000",37.75,25.0,52.0,37.75,151.0
2500,250152,36.75,"48.000000,31.000000,45.000000,23.000000",36.75,23.0,48.0,36.75,147.0
2600,260148,35.75,"35.000000,35.000000,36.000000,37.000000",35.75,35.0,37.0,35.75,143.0
2700,270179,36.75,"41.000000,28.000000,44.000000,34.000000",36.75,28.0,44.0,36.75,147.0
2800,280125,37.75,"45.000000,40.000000,35.000000,31.000000",37.75,31.0,45.0,37.75,151.0
2900,290165,36.25,"35.000000,35.000000,22.000000,53.000000",36.25,22.0,53.0,36.25,145.0
3000,300192,36.5,"28.000000,52.000000,22.000000,44.000000",36.5,22.0,52.0,36.5,146.0
3100,310130,36.75,"31.000000,47.000000,31.000000,38.000000",36.75,31.0,47.0,36.75,147.0
3200,320132,37.25,"38.000000,32.000000,36.000000,43.000000",37.25,32.0,43.0,37.25,149.0
3300,330104,35.75,"24.000000,35.000000,39.000000,45.000000",35.75,24.0,45.0,35.75,143.0
3400,340149,36.75,"40.000000,25.000000,48.000000,34.000000",36.75,25.0,48.0,36.75,147.0
3500,350179,35.75,"24.000000,49.000000,45.000000,25.000000",35.75,24.0,49.0,35.75,143.0
3600,360140,37.0,"45.000000,40.000000,37.000000,26.000000",37.0,26.0,45.0,37.0,148.0
3700,370164,37.0,"39.000000,43.000000,28.000000,38.000000",37.0,28.0,43.0,37.0,148.0
3800,380100,37.5,"36.000000,47.000000,33.000000,34.000000",37.5,33.0,47.0,37.5,150.0
3900,390166,36.75,"33.000000,43.000000,35.000000,36.000000",36.75,33.0,43.0,36.75,147.0
4000,400150,36.25,"30.000000,39.000000,36.000000,40.000000",36.25,30.0,40.0,36.25,145.0
4100,410100,36.25,"27.000000,47.000000,34.000000,37.000000",36.25,27.0,47.0,36.25,145.0
4200,420193,36.75,"46.000000,41.000000,34.000000,26.000000",36.75,26.0,46.0,36.75,147.0
4300,430141,36.5,"28.000000,18.000000,48.000000,52.000000",36.5,18.0,52.0,36.5,146.0
4400,440107,36.5,"44.000000,38.000000,21.000000,43.000000",36.5,21.0,44.0,36.5,146.0
4500,450189,36.0,"30.000000,27.000000,45.000000,42.000000",36.0,27.0,45.0,36.0,144.0
4600,460183,35.5,"31.000000,35.000000,41.000000,35.000000",35.5,31.0,41.0,35.5,142.0
4700,470142,37.0,"41.000000,39.000000,49.000000,19.000000",37.0,19.0,49.0,37.0,148.0
4800,480158,38.25,"40.000000,42.000000,31.000000,40.000000",38.25,31.0,42.0,38.25,153.0
