t,x0,y0,d0,e0,a0,b0,x1,y1,d1,e1,a1,b1,x2,y2,d2,e2,a2,b2,x3,y3,d3,e3,a3,b3
0,1,2,2,0,3,0,14,1,2,0,1,0,14,13,0,1,3,0,2,14,1,0,3,0
1,1,3,2,1,3,0,14,1,1,0,1,0,14,12,0,2,3,0,2,14,0,0,1,0
2,1,3,1,1,1,0,14,1,1,0,3,0,14,12,3,2,1,0,2,14,3,0,1,0
3,2,3,1,2,3,0,14,1,1,0,3,0,13,12,3,3,3,0,1,14,3,0,3,0
4,3,3,1,3,3,0,14,1,1,0,3,0,12,12,3,4,3,0,1,14,3,0,3,0
5,4,3,1,4,3,0,14,1,0,0,1,0,12,12,2,4,1,0,1,14,3,0,3,0
6,4,3,0,4,1,0,14,1,3,0,1,0,12,13,2,5,3,0,1,14,3,0,3,0
7,4,3,3,4,1,0,13,1,3,1,3,0,12,14,2,6,3,0,1,14,3,0,3,0
8,3,3,3,4,3,0,12,1,3,2,3,0,12,14,1,6,1,0,1,14,3,0,3,0
9,2,3,3,4,3,0,11,1,3,3,3,0,12,14,0,6,1,0,1,14,2,0,1,0
10,1,3,3,4,3,0,10,1,3,4,3,0,12,13,0,6,3,0,1,14,2,0,3,0
11,1,3,3,4,3,0,10,1,2,4,1,0,12,12,0,6,3,0,1,14,1,0,1,0
12,1,3,3,4,3,0,10,1,1,4,1,0,12,11,0,7,3,0,1,14,0,0,1,0
13,1,3,3,4,3,0,11,1,1,4,3,0,12,10,0,8,3,0,1,13,0,1,3,0
14,1,3,3,4,3,0,12,1,1,4,3,0,12,10,3,8,1,0,1,12,0,1,3,0
15,1,3,3,4,3,0,13,1,1,4,3,0,11,10,3,9,3,0,1,12,3,1,1,0
16,1,3,3,4,3,0,14,1,1,4,3,0,10,10,3,10,3,0,1,12,3,1,3,0
17,1,3,3,4,3,0,14,1,1,4,3,0,10,10,2,10,1,0,1,12,3,1,3,0
18,1,3,2,4,1,0,14,1,1,4,3,0,10,11,2,11,3,0,1,12,3,1,3,0
19,1,3,1,4,1,0,14,1,1,4,3,0,10,11,1,11,1,0,1,12,3,1,3,0
20,1,3,0,4,1,0,14,1,1,4,3,0,11,11,1,12,3,0,1,12,3,1,3,0
21,1,3,3,4,1,0,14,1,1,4,3,0,11,11,0,12,1,0,1,12,3,1,3,0
22,1,3,3,4,3,0,14,1,1,4,3,0,11,10,0,12,3,0,1,12,2,1,1,0
23,1,3,3,4,3,0,14,1,1,4,3,0,11,10,3,12,1,0,1,13,2,1,3,0
24,1,3,3,4,3,0,14,1,1,4,3,0,10,10,3,12,3,0,1,14,2,1,3,0
25,1,3,3,4,3,0,14,1,0,4,1,0,9,10,3,12,3,0,1,14,1,1,1,0
26,1,3,3,4,3,0,14,1,3,4,1,0,8,10,3,13,3,0,1,14,0,1,1,0
27,1,3,3,4,3,0,13,1,3,4,3,0,7,10,3,13,3,0,1,13,0,1,3,0
28,1,3,3,4,3,0,12,1,3,4,3,0,6,10,3,13,3,0,1,12,0,1,3,0
29,1,3,3,4,3,0,12,1,2,4,1,0,6,10,2,13,1,0,1,12,3,1,1,0
30,1,3,3,4,3,0,12,2,2,5,3,0,6,11,2,13,3,0,1,12,3,1,3,0
31,1,3,3,4,3,0,12,2,1,5,1,0,6,12,2,14,3,0,1,12,3,1,3,0
32,1,3,2,4,1,0,13,2,1,6,3,0,6,13,2,15,3,0,1,12,2,1,1,0
33,1,4,2,5,3,0,14,2,1,7,3,0,6,13,1,15,1,0,1,12,1,1,1,0
34,1,5,2,6,3,0,14,2,0,7,1,0,7,13,1,15,3,0,1,12,0,1,1,0
35,1,6,2,7,3,0,14,1,0,7,3,0,7,13,0,15,1,0,1,11,0,1,3,0
36,1,7,2,7,3,0,14,1,0,7,3,0,7,13,3,15,1,0,1,10,0,2,3,0
37,1,8,2,8,3,0,14,1,0,7,3,0,7,13,2,15,1,0,1,9,0,3,3,0
38,1,8,1,8,1,0,14,1,3,7,1,0,7,14,2,15,3,0,1,9,3,3,1,0
39,2,8,1,8,3,0,13,1,3,7,3,0,7,14,2,15,3,0,1,9,3,3,3,0
40,2,8,0,8,1,0,12,1,3,7,3,0,7,14,1,15,1,0,1,9,3,3,3,0
41,2,7,0,9,3,0,11,1,3,7,3,0,8,14,1,16,3,0,1,9,3,3,3,0
42,2,6,0,9,3,0,11,1,2,7,1,0,9,14,1,17,3,0,1,9,3,3,3,0
43,2,5,0,10,3,0,11,2,2,8,3,0,10,14,1,17,3,0,1,9,3,3,3,0
44,2,4,0,11,3,0,11,3,2,9,3,0,11,14,1,17,3,0,1,9,3,3,3,0
45,2,3,0,11,3,0,11,4,2,10,3,0,11,14,0,17,1,0,1,9,3,3,3,0
46,2,2,0,12,3,0,11,4,1,10,1,0,11,13,0,18,3,0,1,9,3,3,3,0
47,2,1,0,13,3,0,12,4,1,11,3,0,11,12,0,19,3,0,1,9,2,3,1,0
48,2,1,3,13,1,0,13,4,1,12,3,0,11,11,0,19,3,0,1,10,2,3,3,0
49,1,1,3,13,3,0,14,4,1,13,3,0,11,10,0,19,3,0,1,11,2,3,3,0
50,1,1,3,13,3,0,14,4,0,13,1,0,11,9,0,20,3,0,1,12,2,3,3,0
51,1,1,2,13,1,0,14,3,0,14,3,0,11,8,0,21,3,0,1,12,1,3,1,0
52,1,2,2,13,3,0,14,2,0,14,3,0,11,7,0,21,3,0,2,12,1,3,3,0
53,1,3,2,13,3,0,14,1,0,14,3,0,11,7,3,21,1,0,3,12,1,4,3,0
54,1,3,1,13,1,0,14,1,0,14,3,0,10,7,3,22,3,0,4,12,1,5,3,0
55,2,3,1,13,3,0,14,1,3,14,1,0,9,7,3,23,3,0,5,12,1,6,3,0
56,3,3,1,13,3,0,14,1,2,14,1,0,8,7,3,23,3,0,5,12,0,6,1,0
57,3,3,0,13,1,0,14,2,2,14,3,0,7,7,3,24,3,0,5,12,3,6,1,0
58,3,2,0,13,3,0,14,3,2,14,3,0,6,7,3,24,3,0,4,12,3,6,3,0
59,3,2,3,13,1,0,14,3,1,14,1,0,6,7,2,24,1,0,3,12,3,6,3,0
60,2,2,3,13,3,0,14,3,0,14,1,0,6,8,2,25,3,0,2,12,3,6,3,0
61,1,2,3,13,3,0,14,2,0,14,3,0,6,9,2,26,3,0,1,12,3,6,3,0
62,1,2,3,13,3,0,14,1,0,14,3,0,6,10,2,26,3,0,1,12,2,6,1,0
63,1,2,3,13,3,0,14,1,0,14,3,0,6,11,2,26,3,0,1,13,2,6,3,0
64,1,2,2,13,1,0,14,1,0,14,3,0,6,11,1,26,1,0,1,14,2,6,3,0
65,1,2,1,13,1,0,14,1,0,14,3,0,7,11,1,27,3,0,1,14,2,6,3,0
66,2,2,1,13,3,0,14,1,0,14,3,0,7,11,0,27,1,0,1,14,1,6,1,0
67,3,2,1,13,3,0,14,1,0,14,3,0,7,10,0,27,3,0,2,14,1,6,3,0
68,4,2,1,14,3,0,14,1,0,14,3,0,7,9,0,28,3,0,3,14,1,7,3,0
69,5,2,1,14,3,0,14,1,3,14,1,0,7,8,0,28,3,0,4,14,1,8,3,0
70,6,2,1,14,3,0,13,1,3,14,3,0,7,7,0,28,3,0,4,14,0,8,1,0
71,7,2,1,15,3,0,13,1,2,14,1,0,7,7,3,28,1,0,4,13,0,9,3,0
72,8,2,1,15,3,0,13,1,1,14,1,0,6,7,3,28,3,0,4,12,0,9,3,0
73,9,2,1,16,3,0,13,1,0,14,1,0,5,7,3,29,3,0,4,12,3,9,1,0
74,10,2,1,17,3,0,13,1,0,14,3,0,4,7,3,30,3,0,3,12,3,9,3,0
75,11,2,1,17,3,0,13,1,0,14,3,0,3,7,3,31,3,0,3,12,2,9,1,0
76,12,2,1,17,3,0,13,1,0,14,3,0,2,7,3,31,3,0,3,13,2,10,3,0
77,13,2,1,17,3,0,13,1,0,14,3,0,1,7,3,31,3,0,3,14,2,10,3,0
78,14,2,1,17,3,0,13,1,0,14,3,0,1,7,3,31,3,0,3,14,2,10,3,0
79,14,2,1,17,3,0,13,1,3,14,1,0,1,7,3,31,3,0,3,14,1,10,1,0
80,14,2,0,17,1,0,12,1,3,14,3,0,1,7,3,31,3,0,4,14,1,10,3,0
81,14,1,0,17,3,0,11,1,3,14,3,0,1,7,3,31,3,0,5,14,1,11,3,0
82,14,1,0,17,3,0,10,1,3,14,3,0,1,7,3,31,3,0,6,14,1,12,3,0
83,14,1,0,17,3,0,9,1,3,14,3,0,1,7,2,31,1,0,7,14,1,12,3,0
