t,x0,y0,d0,e0,a0,b0,x1,y1,d1,e1,a1,b1,x2,y2,d2,e2,a2,b2,x3,y3,d3,e3,a3,b3
0,1,2,2,1,3,0,13,1,3,1,3,0,14,13,0,1,3,0,2,14,1,1,3,0
1,1,3,2,2,3,0,13,1,2,1,1,0,14,13,3,1,1,0,3,14,1,2,3,0
2,1,4,2,3,3,0,13,2,2,2,3,0,13,13,3,2,3,0,4,14,1,3,3,0
3,1,5,2,4,3,0,13,3,2,3,3,0,12,13,3,3,3,0,5,14,1,4,3,0
4,1,6,2,5,3,0,13,4,2,3,3,0,11,13,3,4,3,0,6,14,1,4,3,0
5,1,7,2,6,3,0,13,4,1,3,1,0,10,13,3,5,3,0,7,14,1,5,3,0
6,1,8,2,7,3,0,14,4,1,4,3,0,9,13,3,6,3,0,8,14,1,6,3,0
7,1,9,2,7,3,0,14,4,1,4,3,0,8,13,3,7,3,0,9,14,1,7,3,0
8,1,9,1,7,1,0,14,4,1,4,3,0,8,13,2,7,1,0,9,14,0,7,1,0
9,2,9,1,8,3,0,14,4,1,4,3,0,8,14,2,7,3,0,9,13,0,7,3,0
10,3,9,1,9,3,0,14,4,1,4,3,0,8,14,1,7,1,0,9,12,0,7,3,0
11,3,9,0,9,1,0,14,4,1,4,3,0,9,14,1,7,3,0,9,12,3,7,1,0
12,3,8,0,9,3,0,14,4,0,4,1,0,10,14,1,8,3,0,8,12,3,8,3,0
13,3,7,0,9,3,0,14,3,0,4,3,0,11,14,1,9,3,0,8,12,2,8,1,0
14,3,7,3,9,1,0,14,2,0,5,3,0,11,14,0,9,1,0,8,13,2,8,3,0
15,2,7,3,9,3,0,14,1,0,5,3,0,11,13,0,9,3,0,8,14,2,8,3,0
16,1,7,3,9,3,0,14,1,3,5,1,0,11,12,0,10,3,0,8,14,2,8,3,0
17,1,7,3,9,3,0,13,1,3,5,3,0,11,11,0,11,3,0,8,14,2,8,3,0
18,1,7,3,9,3,0,13,1,2,5,1,0,11,10,0,12,3,0,8,14,2,8,3,0
19,1,7,3,9,3,0,13,2,2,5,3,0,11,9,0,13,3,0,8,14,1,8,1,0
20,1,7,3,9,3,0,13,3,2,5,3,0,11,8,0,14,3,0,9,14,1,8,3,0
21,1,7,2,9,1,0,13,4,2,5,3,0,11,7,0,15,3,0,10,14,1,8,3,0
22,1,8,2,9,3,0,13,5,2,5,3,0,11,6,0,16,3,0,11,14,1,8,3,0
23,1,8,1,9,1,0,13,6,2,5,3,0,11,6,3,16,1,0,11,14,0,8,1,0
24,2,8,1,10,3,0,13,7,2,6,3,0,10,6,3,17,3,0,11,13,0,8,3,0
25,3,8,1,10,3,0,13,8,2,7,3,0,9,6,3,18,3,0,11,13,3,8,1,0
26,4,8,1,11,3,0,13,9,2,8,3,0,8,6,3,19,3,0,10,13,3,8,3,0
27,5,8,1,11,3,0,13,10,2,9,3,0,8,6,2,19,1,0,9,13,3,8,3,0
28,6,8,1,11,3,0,13,10,1,9,1,0,8,7,2,20,3,0,8,13,3,8,3,0
29,7,8,1,11,3,0,14,10,1,10,3,0,8,8,2,20,3,0,7,13,3,9,3,0
30,7,8,0,11,1,0,14,10,1,10,3,0,8,9,2,20,3,0,7,13,2,9,1,0
31,7,7,0,12,3,0,14,10,1,10,3,0,8,10,2,21,3,0,7,14,2,9,3,0
32,7,7,3,12,1,0,14,10,0,10,1,0,8,11,2,22,3,0,7,14,2,9,3,0
33,6,7,3,13,3,0,14,9,0,11,3,0,8,12,2,22,3,0,7,14,1,9,1,0
34,6,7,2,13,1,0,14,9,3,11,1,0,8,13,2,22,3,0,8,14,1,9,3,0
35,6,8,2,13,3,0,13,9,3,11,3,0,8,13,2,22,3,0,8,14,0,9,1,0
36,6,9,2,14,3,0,12,9,3,12,3,0,8,13,2,22,3,0,8,14,0,9,3,0
37,6,10,2,15,3,0,12,9,2,12,1,0,8,13,1,22,1,0,8,14,0,9,3,0
38,6,10,1,15,1,0,12,10,2,13,3,0,9,13,1,22,3,0,8,13,0,9,3,0
39,7,10,1,16,3,0,12,10,1,13,1,0,10,13,1,22,3,0,8,13,3,9,1,0
40,7,10,0,16,1,0,13,10,1,13,3,0,11,13,1,22,3,0,7,13,3,9,3,0
41,7,9,0,17,3,0,14,10,1,13,3,0,12,13,1,22,3,0,6,13,3,10,3,0
42,7,8,0,17,3,0,14,10,1,13,3,0,13,13,1,22,3,0,5,13,3,11,3,0
43,7,7,0,17,3,0,14,10,1,13,3,0,14,13,1,22,3,0,4,13,3,11,3,0
44,7,6,0,18,3,0,14,10,1,13,3,0,14,13,1,22,3,0,3,13,3,12,3,0
45,7,5,0,19,3,0,14,10,1,13,3,0,14,13,1,22,3,0,2,13,3,13,3,0
46,7,5,3,19,1,0,14,10,0,13,1,0,14,13,1,22,3,0,1,13,3,13,3,0
47,6,5,3,19,3,0,14,9,0,13,3,0,14,13,1,22,3,0,1,13,3,13,3,0
48,6,5,2,19,1,0,14,9,3,13,1,0,14,13,0,22,1,0,1,13,3,13,3,0
49,6,6,2,20,3,0,13,9,3,13,3,0,14,12,0,22,3,0,1,13,3,13,3,0
50,6,7,2,20,3,0,12,9,3,13,3,0,14,11,0,23,3,0,1,13,3,13,3,0
51,6,8,2,20,3,0,11,9,3,13,3,0,14,11,3,23,1,0,1,13,3,13,3,0
52,6,9,2,20,3,0,10,9,3,14,3,0,13,11,3,24,3,0,1,13,3,13,3,0
53,6,10,2,20,3,0,9,9,3,15,3,0,12,11,3,25,3,0,1,13,3,13,3,0
54,6,10,1,20,1,0,8,9,3,15,3,0,11,11,3,25,3,0,1,13,3,13,3,0
55,7,10,1,20,3,0,7,9,3,15,3,0,11,11,2,25,1,0,1,13,3,13,3,0
56,7,10,0,20,1,0,6,9,3,15,3,0,11,12,2,25,3,0,1,13,3,13,3,0
57,7,9,0,20,3,0,5,9,3,16,3,0,11,12,1,25,1,0,1,13,3,13,3,0
58,7,9,3,20,1,0,4,9,3,17,3,0,12,12,1,26,3,0,1,13,2,13,1,0
